rd_zh,rd_en
中興路中二巷,"CENTRAL 2ND LN., ZHONGXING RD."
中興路中興一巷,"ZHONGXING 1ST LN., ZHONGXING RD."
中興路中興二巷,"ZHONGXING 2ND LN., ZHONGXING RD."
中興路中興三巷,"ZHONGXING 3RD LN., ZHONGXING RD."
中興路中興四巷,"ZHONGXING 4TH LN., ZHONGXING RD."
中興路中興五巷,"ZHONGXING 5TH LN., ZHONGXING RD."
中興路中興六巷,"ZHONGXING 6TH LN., ZHONGXING RD."
中興路中興七巷,"ZHONGXING 7TH LN., ZHONGXING RD."
中興路中興八巷,"ZHONGXING 8TH LN., ZHONGXING RD."
中興路中興九巷,"ZHONGXING 9TH LN., ZHONGXING RD."
中興路中興十巷,"ZHONGXING 10TH LN., ZHONGXING RD."
中興路中興巷,"ZHONGXING LN., ZHONGXING RD."
中興路今日市場,"JINRI MARKET, ZHONGXING RD."
中興路平鎮段,"SEC. PINGZHEN, ZHONGXING RD."
中興路田園二村,"TIANYUAN 2ND VIL., ZHONGXING RD."
中興嶺,ZHONGXINGLING
中興嶺街一段,"SEC. 1, ZHONGXINGLING ST."
中興嶺街二段,"SEC. 2, ZHONGXINGLING ST."
中鋼路,ZHONGGANG RD.
中龍里中正路,"ZHONGZHENG RD., ZHONGLONG VIL."
中龍里中南街,"ZHONGNAN ST., ZHONGLONG VIL."
中龍里館前街,"GUANQIAN ST., ZHONGLONG VIL."
中龍岡,ZHONGLONGGANG
中龍街,ZHONGLONG ST.
中濱,ZHONGBIN
中營,ZHONGYING
中環路,ZHONGHUAN RD.
中環路一段,"SEC. 1, ZHONGHUAN RD."
中環路二段,"SEC. 2, ZHONGHUAN RD."
中環路三段,"SEC. 3, ZHONGHUAN RD."
中豐北路,ZHONGFENG N. RD.
中豐北路一段,"SEC. 1, ZHONGFENG N. RD."
中豐北路二段,"SEC. 2, ZHONGFENG N. RD."
中豐新路,ZHONGFENGXIN RD.
中豐路,ZHONGFENG RD.
中豐路一段,"SEC. 1, ZHONGFENG RD."
中豐路二段,"SEC. 2, ZHONGFENG RD."
中豐路三段,"SEC. 3, ZHONGFENG RD."
中豐路上林段,"SEC. SHANGLIN, ZHONGFENG RD."
中豐路山頂段,"SEC. SHANDING, ZHONGFENG RD."
中豐路山頂段興峰巷,"XINGFENG LN., SEC. SHANDING, ZHONGFENG RD."
中豐路中山段,"SEC. ZHONGSHAN, ZHONGFONG RD."
中豐路南勢一段,"NANSHI SEC. 1, ZHONGFENG RD."
中豐路南勢二段,"NANSHI SEC. 2, ZHONGFENG RD."
中豐路高平段,"SEC. GAOPING, ZHONGFENG RD."
中豐路莊敬段,"SEC. ZHUANGJING, ZHONGFENG RD."
中蘭,ZHONGLAN
中灣一街,ZHONGWAN 1ST ST.
中灣五街,ZHONGWAN 5TH ST.
中觀路一段,"SEC. 1, ZHONGGUAN RD."
中觀路二段,"SEC. 2, ZHONGGUAN RD."
丹山一路,DANSHAN 1ST RD.
丹山二路,DANSHAN 2ND RD.
丹山三路,DANSHAN 3RD RD.
丹山四路,DANSHAN 4TH RD.
丹林,DANLIN
丹陽街,DANYANG ST.
丹裡街,DANLI ST.
丹路一巷,DANLU 1ST LN.
丹路二巷,DANLU 2ND LN.
丹路四巷,DANLU 4TH LN.
丹榮路,DANRONG RD.
丹鳳街,DANFENG ST.
井子垵,JINGZI'AN
井子腳,JINGZIJIAO
井仔巷,JINGZAI LN.
井仔頭,JINGZAITOU
井北街,JINGBEI ST.
井南街,JINGNAN ST.
井泉街,JINGQUAN ST.
井新街,JINGXIN ST.
井腳路,JINGJIAO RD.
井頭巷,JINGTOU LN.
互助一街,HUZHU 1ST ST.
互助二街,HUZHU 2ND ST.
互助三街,HUZHU 3RD ST.
互助社區,HUZHU COMMUNITY
互助街,HUZHU ST.
互愛巷,HU'AI LN.
互愛街,HU'AI ST.
互榮巷,HURONG LN.
五十戶路,WUSHIHU RD.
五叉溝,WUCHAGOU
五工一路,WUGONG 1ST RD.
五工二路,WUGONG 2ND RD.
五工三路,WUGONG 3RD RD.
五工五路,WUGONG 5TH RD.
五工六路,WUGONG 6TH RD.
五工路,WUGONG RD.
五公路,WUGONG RD.
五分,WUFEN
五分街,WUFEN ST.
五分路一段,"SEC. 1, WUFEN RD."
五分路二段,"SEC. 2, WUFEN RD."
五分路三段,"SEC. 3, WUFEN RD."
五分寮,WUFENLIAO
五爪崙,WUZHUALUN
五仙路一段,"SEC. 1, WUXIAN RD."
五仙路二段,"SEC. 2, WUXIAN RD."
五北,WUBEI
五北里中山路,"ZHONGSHAN RD., WUBEI VIL."
五平街,WUPING ST.
五甲一路,WUJIA 1ST RD.
五甲二路,WUJIA 2ND RD.
五甲二路臨一巷,"LIN 1ST LN., WUJIA 2ND RD."
五甲三路,WUJIA 3RD RD.
五甲北路,WUJIA N. RD.
五甲南路,WUJIA S. RD.
五甲勢,WUJIASHI
五甲路,WUJIA RD.
五甲路南成三巷,"NANCHENG 3RD LN., WUJIA RD."
五光一街,WUGUANG 1ST ST.
五光二街,WUGUANG 2ND ST.
五光三街,WUGUANG 3RD ST.
五光路,WUGUANG RD.
五光路五中巷,"WUZHONG LN., WUGUANG RD."
五光路五堂巷,"WUTANG LN., WUGUANG RD."
五光路復光一巷,"FUGUANG 1ST LN., WUGUANG RD."
五光路復光二巷,"FUGUANG 2ND LN., WUGUANG RD."
五光路復光三巷,"FUGUANG 3RD LN., WUGUANG RD."
五光路復光四巷,"FUGUANG 4TH LN., WUGUANG RD."
五光路復光五巷,"FUGUANG 5TH LN., WUGUANG RD."
五光路復光六巷,"FUGUANG 6TH LN., WUGUANG RD."
五合,WUHE
五妃街,WUFEI ST.
五守街,WUSHOU ST.
五成街,WUCHENG ST.
五百恩仔,WUBAI'ENZAI
五伯巷,WUBO LN.
五汴巷,WUBIAN LN.
五汴頭,WUBIANTOU
五谷,WUGU
五谷一路,WUGU 1ST RD.
五谷二路,WUGU 2ND RD.
五谷王,WUGUWANG
五谷王北街,WUGUWANG N. ST.
五谷王南街,WUGUWANG S. ST.
五谷街,WUGU ST.
五谷路,WUGU RD.
五里路,WULI RD.
五和街,WUHE ST.
五和路,WUHE RD.
五房路,WUFANG RD.
五林路,WULIN RD.
五林路惠明巷,"HUIMING LN., WULIN RD."
五油路,WUYOU RD.
五股林,WUGULIN
五虎寮,WUHULIAO
五青路,WUQING RD.
五俊村中正巷,"ZHONGZHENG LN., WUJUN VIL."
五俊村新生巷,"XINSHENG LN., WUJUN VIL."
五南,WUNAN
五南里中山路,"ZHONGSHAN RD., WUNAN VIL."
五城巷,WUCHENG LN.
五美路,WUMEI RD.
五軍營,WUJUNYING
五原路,WUYUAN RD.
五峰,WUFENG
五峰路,WUFENG RD.
五座屋,WUZUOWU
五馬巷,WUMA LN.
五區,WUQU
五常,WUCHANG
五常一街,WUCHANG 1ST ST.
五常巷,WUCHANG LN.
五常街,WUCHANG ST.
五族二街,WUZU 2ND ST.
五族三街,WUZU 3RD ST.
五族街,WUZU ST.
五條寮街,WUTIAOLIAO ST.
五通北路,WUTONG N. RD.
五通西路,WUTONG W. RD.
五通南路,WUTONG S. RD.
五腳松,WUJIAOSONG
五廊街,WULANG ST.
五智街,WUZHI ST.
五港路,WUGANG RD.
五湖街,WUHU ST.
五結中路,WUJIE CENTRAL RD.
五結中路一段,"SEC. 1, WUJIE CENTRAL RD."
五結中路二段,"SEC. 2, WUJIE CENTRAL RD."
五結中路三段,"SEC. 3, WUJIE CENTRAL RD."
五結北路,WUJIE N. RD.
五結路,WUJIE RD.
五結路一段,"SEC. 1, WUJIE RD."
五結路二段,"SEC. 2, WUJIE RD."
五結路三段,"SEC. 3, WUJIE RD."
五華街,WUHUA ST.
五間,WUJIAN
五間巷,WUJIAN LN.
五間厝,WUJIANCUO
五順街,WUSHUN ST.
五榔,WULANG
五經巷,WUJING LN.
五義街,WUYI ST.
五義路,WUYI RD.
五聖路,WUSHENG RD.
五號路,WUHAO RD.
五福一街,WUFU 1ST ST.
五福一路,WUFU 1ST RD.
五福二街,WUFU 2ND ST.
五福二路,WUFU 2ND RD.
五福三街,WUFU 3RD ST.
五福三路,WUFU 3RD RD.
五福四街,WUFU 4TH ST.
五福四路,WUFU 4TH RD.
五福五街,WUFU 5TH ST.
五福六路,WUFU 6TH RD.
五福七街,WUFU 7TH ST.
五福九街,WUFU 9TH ST.
五福十一街,WUFU 11TH ST.
五福十三街,WUFU 13TH ST.
五福西路,WUFU W. RD.
五福巷,WUFU LN.
五福街,WUFU ST.
五福新村,WUFU NEW VIL.
五福路,WUFU RD.
五福路一段,"SEC. 1, WUFU RD."
五福路二段,"SEC. 2, WUFU RD."
五福路十股巷,"SHIGU LN., WUFU RD."
五魁一巷,WUKUI 1ST LN.
五魁路,WUKUI RD.
五寮,WULIAO
五寮巷,WULIAO LN.
五德路,WUDE RD.
五慧街,WUHUI ST.
五穀街,WUGU ST.
五穀路,WUGU RD.
五線,WUXIAN
五賢路,WUXIAN RD.
五橋,WUQIAO
五興路,WUXING RD.
五龍街,WULONG ST.
五濱路一段,"SEC. 1, WUBIN RD."
五濱路二段,"SEC. 2, WUBIN RD."
五豐,WUFENG
五豐一路,WUFENG 1ST RD.
五豐二路,WUFENG 2ND RD.
五豐三路,WUFENG 3RD RD.
五豐八莊,WUFENG 8TH VIL.
五豐九莊,WUFENG 9TH VIL.
五豐街,WUFENG ST.
五權一街,WUQUAN 1ST ST.
五權一路,WUQUAN 1ST RD.
五權二街,WUQUAN 2ND ST.
五權二路,WUQUAN 2ND RD.
五權三街,WUQUAN 3RD ST.
五權三路,WUQUAN 3RD RD.
五權四街,WUQUAN 4TH ST.
五權五街,WUQUAN 5TH ST.
五權五路,WUQUAN 5TH RD.
五權六街,WUQUAN 6TH ST.
五權六路,WUQUAN 6TH RD.
五權七街,WUQUAN 7TH ST.
五權七路,WUQUAN 7TH RD.
五權八街,WUQUAN 8TH ST.
五權八路,WUQUAN 8TH RD.
五權西一街,WUQUAN W. 1ST ST.
五權西二街,WUQUAN W. 2ND ST.
五權西三街,WUQUAN W. 3RD ST.
五權西四街,WUQUAN W. 4TH ST.
五權西五街,WUQUAN W. 5TH ST.
五權西六街,WUQUAN W. 6TH ST.
五權西路一段,"SEC. 1, WUQUAN W. RD."
五權西路二段,"SEC. 2, WUQUAN W. RD."
五權西路三段,"SEC. 3, WUQUAN W. RD."
五權東路,WUQUAN E. RD.
五權南一街,WUQUAN S. 1ST ST.
五權南一路,WUQUAN S. 1ST RD.
五權南路,WUQUAN S. RD.
五權街,WUQUAN ST.
五權新一巷,WUQUAN NEW 1ST LN.
五權新二巷,WUQUAN NEW 2ND LN.
五權路,WUQUAN RD.
五顯街,WUXIAN ST.
仁一街,REN 1ST ST.
仁一路,REN 1ST RD.
仁二街,REN 2ND ST.
仁二路,REN 2ND RD.
仁三街,REN 3RD ST.
仁三路,REN 3RD RD.
仁四街,REN 4TH ST.
仁四路,REN 4TH RD.
仁五街,REN 5TH ST.
仁五路,REN 5TH RD.
仁五路一段,"SEC. 1, REN 5TH RD."
仁五路二段,"SEC. 2, REN 5TH RD."
仁五路三段,"SEC. 3, REN 5TH RD."
仁六街,REN 6TH ST.
仁六路,REN 6TH RD.
仁七街,REN 7TH ST.
仁七路,REN 7TH RD.
仁八街,REN 8TH ST.
仁山一街,RENSHAN 1ST ST.
仁山二街,RENSHAN 2ND ST.
仁山巷,RENSHAN LN.
仁山街,RENSHAN ST.
仁川路,RENCHUAN RD.
仁中一街,RENZHONG 1ST ST.
仁中二街,RENZHONG 2ND ST.
仁中三街,RENZHONG 3RD ST.
仁中五街,RENZHONG 5TH ST.
仁中六街,RENZHONG 6TH ST.
仁中七街,RENZHONG 7TH ST.
仁中八街,RENZHONG 8TH ST.
仁中巷,RENZHONG LN.
仁中街,RENZHONG ST.
仁化工一路,RENHUAGONG 1ST RD.
仁化工二路,RENHUAGONG 2ND RD.
仁化工三路,RENHUAGONG 3RD RD.
仁化工五路,RENHUAGONG 5TH RD.
仁化工八路,RENHUAGONG 8TH RD.
仁化工十路,RENHUAGONG 10TH RD.
仁化工十二路,RENHUAGONG 12TH RD.
仁化工十六路,RENHUAGONG 16TH RD.
仁化工十八路,RENHUAGONG 18TH RD.
仁化工十九路,RENHUAGONG 19TH RD.
仁化商場,RENHUA MARKET
仁化街,RENHUA ST.
仁化路,RENHUA RD.
仁友巷,RENYOU LN.
仁心街,RENXIN ST.
仁心路,RENXIN RD.
仁心路博愛巷,"BO'AI LN., RENXIN RD."
仁文街,RENWEN ST.
仁北路,RENBEI RD.
仁平街,RENPING ST.
仁平路,RENPING RD.
仁民街,RENMIN ST.
仁民路,RENMIN RD.
仁立街,RENLI ST.
仁仰路,RENYANG RD.
仁光,RENGUANG
仁光路,RENGUANG RD.
仁宇路,RENYU RD.
仁安,REN'AN
仁安一巷,REN'AN 1ST LN.
仁安一街,REN'AN 1ST ST.
仁安二巷,REN'AN 2ND LN.
仁安二街,REN'AN 2ND ST.
仁安三巷,REN'AN 3RD LN.
仁安四街,REN'AN 4TH ST.
仁安六街,REN'AN 6TH ST.
仁安八街,REN'AN 8TH ST.
仁安街,REN'AN ST.
仁安路,REN'AN RD.
仁利街,RENLI ST.
仁孝街,RENXIAO ST.
仁孝路,RENXIAO RD.
仁里一街,RENLI 1ST ST.
仁里二街,RENLI 2ND ST.
仁里三街,RENLI 3RD ST.
仁里四街,RENLI 4TH ST.
仁里五街,RENLI 5TH ST.
仁里六街,RENLI 6TH ST.
仁里七街,RENLI 7TH ST.
仁里八街,RENLI 8TH ST.
仁里九街,RENLI 9TH ST.
仁里十二街,RENLI 12TH ST.
仁里十三街,RENLI 13TH ST.
仁里十四街,RENLI 14TH ST.
仁里文化,RENLIWENHUA
仁里板,RENLIBAN
仁里街,RENLI ST.
仁里路,RENLI RD.
仁協巷,RENXIE LN.
仁和,RENHE
仁和一街,RENHE 1ST ST.
仁和一路,RENHE 1ST RD.
仁和二街,RENHE 2ND ST.
仁和二路,RENHE 2ND RD.
仁和三街,RENHE 3RD ST.
仁和五街,RENHE 5TH ST.
仁和六街,RENHE 6TH ST.
仁和七街,RENHE 7TH ST.
仁和八街,RENHE 8TH ST.
仁和九街,RENHE 9TH ST.
仁和北路,RENHE N. RD.
仁和西街,RENHE W. ST.
仁和東街,RENHE E. ST.
仁和南街,RENHE S. ST.
仁和巷,RENHE LN.
仁和街,RENHE ST.
仁和新村,RENHE NEW VIL.
仁和路,RENHE RD.
仁和路一段,"SEC. 1, RENHE RD."
仁和路二段,"SEC. 2, RENHE RD."
仁和路南巷,"S. LN., RENHE RD."
仁忠一街,RENZHONG 1ST ST.
仁忠二街,RENZHONG 2ND ST.
仁忠三街,RENZHONG 3RD ST.
仁忠四街,RENZHONG 4TH ST.
仁忠五街,RENZHONG 5TH ST.
仁忠六街,RENZHONG 6TH ST.
仁忠七街,RENZHONG 7TH ST.
仁忠八街,RENZHONG 8TH ST.
仁忠十街,RENZHONG 10TH ST.
仁忠街,RENZHONG ST.
仁忠路,RENZHONG RD.
仁怡一街,RENYI 1ST ST.
仁怡二街,RENYI 2ND ST.
仁怡街,RENYI ST.
仁昌街,RENCHANG ST.
仁昌路,RENCHANG RD.
仁東街,RENDONG ST.
仁林路,RENLIN RD.
仁武街,RENWU ST.
仁信巷,RENXIN LN.
仁信街,RENXIN ST.
仁保路,RENBAO RD.
仁前巷,RENQIAN LN.
仁勇西巷,RENYONG W. LN.
仁勇東巷,RENYONG E. LN.
仁勇街,RENYONG ST.
仁勇路,RENYONG RD.
仁南一街,RENNAN 1ST ST.
仁南二街,RENNAN 2ND ST.
仁南三街,RENNAN 3RD ST.
仁南四街,RENNAN 4TH ST.
仁南街,RENNAN ST.
仁厚街,RENHOU ST.
仁城路,RENCHENG RD.
仁屋一街,RENWU 1ST ST.
仁屋二街,RENWU 2ND ST.
仁巷,REN LN.
仁後巷,RENHOU LN.
仁政街,RENZHENG ST.
仁政路,RENZHENG RD.
仁春巷,RENCHUN LN.
仁春街,RENCHUN ST.
仁洲街,RENZHOU ST.
仁美,RENMEI
仁美一街,RENMEI 1ST ST.
仁美二街,RENMEI 2ND ST.
仁美三巷,RENMEI 3RD LN.
仁美四街,RENMEI 4TH ST.
仁美九巷,RENMEI 9TH LN.
仁美十巷,RENMEI 10TH LN.
仁美十一巷,RENMEI 11TH LN.
仁美十二巷,RENMEI 12TH LN.
仁美巷,RENMEI LN.
仁美街,RENMEI ST.
仁美新村,RENMEI NEW VIL.
仁美路,RENMEI RD.
仁風路,RENFENG RD.
仁望路,RENWANG RD.
仁盛路,RENSHENG RD.
仁祥街,RENXIANG ST.
仁堤一街,RENTI 1ST ST.
仁堤二街,RENTI 2ND ST.
仁堤路,RENTI RD.
仁智街,RENZHI ST.
仁智路,RENZHI RD.
仁發六路,RENFA 6TH RD.
仁善一街,RENSHAN 1ST ST.
仁善二街,RENSHAN 2ND ST.
仁善三街,RENSHAN 3RD ST.
仁善五街,RENSHAN 5TH ST.
仁善六街,RENSHAN 6TH ST.
仁善七街,RENSHAN 7TH ST.
仁善街,RENSHAN ST.
仁華街,RENHUA ST.
仁華路,RENHUA RD.
仁隆,RENLONG
仁隆街,RENLONG ST.
仁雅巷,RENYA LN.
仁雅街,RENYA ST.
仁雄路,RENXIONG RD.
仁雄舊街,RENXIONGJIU ST.
仁慈一街,RENCI 1ST ST.
仁慈二街,RENCI 2ND ST.
仁慈三街,RENCI 3RD ST.
仁慈四街,RENCI 4TH ST.
仁慈五街,RENCI 5TH ST.
仁慈六街,RENCI 6TH ST.
仁慈七街,RENCI 7TH ST.
仁慈八街,RENCI 8TH ST.
仁慈街,RENCI ST.
仁慈路,RENCI RD.
仁愛,REN'AI
仁愛一巷,REN'AI 1ST LN.
仁愛一街,REN'AI 1ST ST.
仁愛一路,REN'AI 1ST RD.
仁愛二街,REN'AI 2ND ST.
仁愛二路,REN'AI 2ND RD.
仁愛三街,REN'AI 3RD ST.
仁愛三路,REN'AI 3RD RD.
仁愛四街,REN'AI 4TH ST.
仁愛五街,REN'AI 5TH ST.
仁愛六街,REN'AI 6TH ST.
仁愛八街,REN'AI 8TH ST.
仁愛十街,REN'AI 10TH ST.
仁愛十二街,REN'AI 12TH ST.
仁愛十六街,REN'AI 16TH ST.
仁愛北街,REN'AI N. ST.
仁愛北路,REN'AI N. RD.
仁愛西路,REN'AI W. RD.
仁愛村,REN'AI VIL.
仁愛東街,REN'AI E. ST.
仁愛南街,REN'AI S. ST.
仁愛南路,REN'AI S. RD.
仁愛巷,REN'AI LN.
仁愛商城,REN'AI SHANGCHENG
仁愛街,REN'AI ST.
仁愛街一段,"SEC. 1, REN'AI ST."
仁愛街育德巷,"YUDE LN., REN'AI ST."
仁愛新屯,REN'AI NEW VIL.
仁愛新村,REN'AI NEW VIL.
仁愛路,REN'AI RD.
仁愛路一段,"SEC. 1, REN'AI RD."
仁愛路二段,"SEC. 2, REN'AI RD."
仁愛路三段,"SEC. 3, REN'AI RD."
仁愛路四段,"SEC. 4, REN'AI RD."
仁愛路必信巷,"BIXIN LN., REN'AI RD."
仁愛路長安巷,"CHANG'AN LN., REN'AI RD."
仁愛路福德巷,"FUDE LN., REN'AI RD."
仁新巷,RENXIN LN.
仁義,RENYI
仁義一街,RENYI 1ST ST.
仁義二街,RENYI 2ND ST.
仁義三街,RENYI 3RD ST.
仁義四街,RENYI 4TH ST.
仁義五街,RENYI 5TH ST.
仁義六街,RENYI 6TH ST.
仁義北路,RENYI N. RD.
仁義南路,RENYI S. RD.
仁義巷,RENYI LN.
仁義街,RENYI ST.
仁義新村,RENYI NEW VIL.
仁義路,RENYI RD.
仁義路仁德巷,"RENDE LN., RENYI RD."
仁聖路,RENSHENG RD.
仁壽南路,RENSHOU S. RD.
仁壽街,RENSHOU ST.
仁壽路,RENSHOU RD.
仁壽路忠勤新村,"ZHONGQIN NEW VIL., RENSHOU RD."
仁福一街,RENFU 1ST ST.
仁福二街,RENFU 2ND ST.
仁福三街,RENFU 3RD ST.
仁福四街,RENFU 4TH ST.
仁福五街,RENFU 5TH ST.
仁福巷,RENFU LN.
仁福街,RENFU ST.
仁德一街,RENDE 1ST ST.
仁德一路,RENDE 1ST RD.
仁德二街,RENDE 2ND ST.
仁德二路,RENDE 2ND RD.
仁德三街,RENDE 3RD ST.
仁德三路,RENDE 3RD RD.
仁德四街,RENDE 4TH ST.
仁德五街,RENDE 5TH ST.
仁德五路,RENDE 5TH RD.
仁德六街,RENDE 6TH ST.
仁德七街,RENDE 7TH ST.
仁德八街,RENDE 8TH ST.
仁德九街,RENDE 9TH ST.
仁德十街,RENDE 10TH ST.
仁德十一街,RENDE 11TH ST.
仁德北街,RENDE N. ST.
仁德西路一段,"SEC. 1, RENDE W. RD."
仁德西路二段,"SEC. 2, RENDE W. RD."
仁德西路二段吉來巷,"JILAI LN., SEC. 2, RENDE W. RD."
仁德東路,RENDE E. RD.
仁德南街,RENDE S. ST.
仁德巷,RENDE LN.
仁德街,RENDE ST.
仁德新村,RENDE NEW VIL.
仁德路,RENDE RD.
仁德路一段,"SEC. 1, RENDE RD."
仁樂街,RENLE ST.
仁樂路,RENLE RD.
仁賢街,RENXIAN ST.
仁樹街,RENSHU ST.
仁澤山莊,RENZE VILLA
仁澤路,RENZE RD.
仁興巷,RENXING LN.
仁興街,RENXING ST.
仁興路,RENXING RD.
仁親路,RENQIN RD.
仁禮街,RENLI ST.
仁豐路,RENFENG RD.
什乃,SHINAI
什股一街,SHIGU 1ST ST.
什股二街,SHIGU 2ND ST.
什股三街,SHIGU 3RD ST.
什股五街,SHIGU 5TH ST.
什股六街,SHIGU 6TH ST.
什股七街,SHIGU 7TH ST.
什股八街,SHIGU 8TH ST.
什股九街,SHIGU 9TH ST.
什股十街,SHIGU 10TH ST.
什股十一街,SHIGU 11TH ST.
什股路,SHIGU RD.
什泉街,SHIQUAN ST.
介仁街,JIEREN ST.
介林二街,JIELIN 2ND ST.
介林三街,JIELIN 3RD ST.
介林四街,JIELIN 4TH ST.
介林五街,JIELIN 5TH ST.
介林六街,JIELIN 6TH ST.
介林七街,JIELIN 7TH ST.
介林八街,JIELIN 8TH ST.
介林九街,JIELIN 9TH ST.
介智街,JIEZHI ST.
介新街,JIEXIN ST.
介義街,JIEYI ST.
介壽一巷,JIESHOU 1ST LN.
介壽一街,JIESHOU 1ST ST.
介壽一路,JIESHOU 1ST RD.
介壽二街,JIESHOU 2ND ST.
介壽三街,JIESHOU 3RD ST.
介壽四街,JIESHOU 4TH ST.
介壽五街,JIESHOU 5TH ST.
介壽北路,JIESHOU N. RD.
介壽西路,JIESHOU W. RD.
介壽西路西首,"XISHOU, JIESHOU W. RD."
介壽村,JIESHOU VIL.
介壽東路,JIESHOU E. RD.
介壽南路,JIESHOU S. RD.
介壽巷,JIESHOU LN.
介壽街,JIESHOU ST.
介壽新村,JIESHOU NEW VIL.
介壽路,JIESHOU RD.
介壽路一段,"SEC. 1, JIESHOU RD."
介壽路二段,"SEC. 2, JIESHOU RD."
介壽路二段富順巷,"FUSHUN LN., SEC. 2, JIESHOU RD."
介壽路三段,"SEC. 3, JIESHOU RD."
介壽路慈恩廿五村,"CI'EN 25TH VIL., JIESHOU RD."
介禮街,JIELI ST.
元中村外中街,"WAIZHONG ST., YUANZHONG VIL."
元中村復興路,"FUXING RD., YUANZHONG VIL."
元中路,YUANZHONG RD.
元化街,YUANHUA ST.
元化路,YUANHUA RD.
元化路二段,"SEC. 2, YUANHUA RD."
元北路,YUANBEI RD.
元市街,YUANSHI ST.
元正路,YUANZHENG RD.
元生一街,YUANSHENG 1ST ST.
元生二街,YUANSHENG 2ND ST.
元生三街,YUANSHENG 3RD ST.
元西路,YUANXI RD.
元亨街,YUANHENG ST.
元昌街,YUANCHANG ST.
元東路,YUANDONG RD.
元信一街,YUANXIN 1ST ST.
元信二街,YUANXIN 2ND ST.
元信三街,YUANXIN 3RD ST.
元南路,YUANNAN RD.
元帝路,YUANDI RD.
元泰街,YUANTAI ST.
元培街,YUANPEI ST.
元通路,YUANTONG RD.
元堤路二段,"SEC. 2, YUANTI RD."
元富一街,YUANFU 1ST ST.
元富二街,YUANFU 2ND ST.
元智街,YUANZHI ST.
元德巷,YUANDE LN.
元興路,YUANXING RD.
允文街,YUNWEN ST.
內大坪,NEIDAPING
內大溪路,NEIDAXI RD.
內中福,NEIZHONGFU
內元路,NEIYUAN RD.
內分子,NEIFENZI
內文一巷,NEIWEN 1ST LN.
內文二巷,NEIWEN 2ND LN.
內雙坑,NEISHUANGKENG
內平林,NEIPINGLIN
內田,NEITIAN
內石門,NEISHIMEN
內立坑街,NEILIKENG ST.
內安,NEI'AN
內江街,NEIJIANG ST.
內庄,NEIZHUANG
內庄巷,NEIZHUANG LN.
內坑,NEIKENG
內坑路,NEIKENG RD.
內角,NEIJIAO
內定一街,NEIDING 1ST ST.
內定二街,NEIDING 2ND ST.
內定三街,NEIDING 3RD ST.
內定五街,NEIDING 5TH ST.
內定六街,NEIDING 6TH ST.
內定七街,NEIDING 7TH ST.
內定八街,NEIDING 8TH ST.
內定九街,NEIDING 9TH ST.
內定十街,NEIDING 10TH ST.
內定十一街,NEIDING 11TH ST.
內定十二街,NEIDING 12TH ST.
內定十三街,NEIDING 13TH ST.
內定十六街,NEIDING 16TH ST.
內定十八街,NEIDING 18TH ST.
內定二十街,NEIDING 20TH ST.
內定二十二街,NEIDING 22ND ST.
內枋林,NEIFANGLIN
內東路,NEIDONG RD.
內東路萬聖巷,"WANSHENG LN., NEIDONG RD."
內東路廣成巷,"GUANGCHENG LN., NEIDONG RD."
內東路廣利巷,"GUANGLI LN., NEIDONG RD."
內東路廣益巷,"GUANGYI LN., NEIDONG RD."
內林,NEILIN
內林路,NEILIN RD.
內門,NEIMEN
內阿里磅,NEI'ALIBANG
內城巷,NEICHENG LN.
內城路,NEICHENG RD.
內奎輝,NEIKUIHUI
內思路,NEISI RD.
內挖,NEIWA
內柵路一段,"SEC. 1, NEIZHA RD."
內柵路二段,"SEC. 2, NEIZHA RD."
內柑宅,NEIGANZHAI
內柑腳,NEIGANJIAO
內洋,NEIYANG
內垵,NEI'AN
內厝,NEICUO
內厝二路,NEICUO 2ND RD.
內厝三路,NEICUO 3RD RD.
內厝五路,NEICUO 5TH RD.
內厝六路,NEICUO 6TH RD.
內厝八路,NEICUO 8TH RD.
內厝十路,NEICUO 10TH RD.
內厝十一路,NEICUO 11TH RD.
內厝街,NEICUO ST.
內厝路,NEICUO RD.
內埔,NEIPU
內埔仔,NEIPUZAI
內埔市場,NEIPU MARKET
內埔村崁腳,"KANJIAO, NEIPU VIL."
內埔村過坑,"GUOKENG, NEIPU VIL."
內埔路,NEIPU RD.
內島,NEIDAO
內島里中山路,"ZHONGSHAN RD., NEIDAO VIL."
內崁,NEIKAN
內海路,NEIHAI RD.
內海墘,NEIHAIQIAN
內草湖,NEICAOHU
內埤路,NEIPI RD.
內崎內,NEIQINEI
內惟路,NEIWEI RD.
內曾路,NEIZENG RD.
內湖,NEIHU
內湖一路,NEIHU 1ST RD.
內湖巷,NEIHU LN.
內湖路,NEIHU RD.
內湖路一段,"SEC. 1, NEIHU RD."
內湖路二段,"SEC. 2, NEIHU RD."
內湖路三段,"SEC. 3, NEIHU RD."
內隆林街,NEILONGLIN ST.
內新街,NEIXIN ST.
內新街頂庄巷,"DINGZHUANG LN., NEIXIN ST."
內新路,NEIXIN RD.
內溪一巷,NEIXI 1ST LN.
內溪二巷,NEIXI 2ND LN.
內溪洲,NEIXIZHOU
內溪路,NEIXI RD.
內溪路內溪巷,"NEIXI LN., NEIXI RD."
內溪路自強巷,"ZIQIANG LN., NEIXI RD."
內獅巷,NEISHI LN.
內葉翅,NEIYECHI
